title,console,genre_x,publisher,developer_x,critic_score,total_sales,release_date_x,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,user_score,Title,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,company,stock
Metal Gear Solid V: The Phantom Pain,XOne,Action,Konami Digital Entertainment,Kojima Productions,95.0,0.83,2015-09-01,0.41,0.26,0.01,0.07,0.75,10.0,900.0,M,10.0,0.0,0.0,82.0,22.0,7.0,73.0,Metal Gear Solid V: The Phantom Pain,"KojimaProductions,MobyDickStudio",Modern;Modern;Action Adventure;Open-World,XOne,95.0,74.0,Up to 16 ,Konami,9766.T
Ben 10: Alien Force,Wii,Action,D3 Publisher,Monkey Bar Games,45.0,0.8,2008-10-28,0.52,0.21,0.0,0.07,0.8,6.0,11.0,E10+,,,,,,,78.0,,,,,,,,Bandai Namco,7832.T
Assassin's Creed The Ezio Collection,PS4,Action,Ubisoft,Ubisoft,72.0,0.79,2016-11-15,0.04,0.13,0.0,0.03,0.2,32.0,49.0,M,,,,,,,74.0,,,,,,,,Ubisoft,UBSFY
MadWorld,Wii,Action,Sega,PlatinumGames,81.0,0.78,2009-03-10,0.45,0.23,0.02,0.07,0.77,74.0,176.0,M,,,,,,,81.0,MadWorld,PlatinumGames,Action;Beat-'Em-Up;Beat-'Em-Up;3D,Wii,81.0,86.0,1-2 ,Sega,6460.T
Tom Clancy's Splinter Cell: Double Agent,X360,Action,Ubisoft,Ubisoft Shanghai,85.0,0.78,2006-10-17,0.67,0.04,0.01,0.06,0.78,59.0,148.0,M,,,,,,,83.0,,,,,,,,Ubisoft,UBSFY
Twisted Metal: Head On,PSP,Action,Sony Computer Entertainment,Incognito Inc.,75.0,0.77,2005-03-24,0.71,0.0,0.0,0.06,0.77,45.0,38.0,T,,,,,,,82.0,,,,,,,,Sony,SONY
Resident Evil: Revelations,PS3,Action,Capcom,Capcom,76.0,0.76,2013-05-21,0.14,0.29,0.22,0.09,0.74,30.0,204.0,M,,,,,,,72.0,,,,,,,,Capcom,CCOEF
Assassin's Creed: Revelations,PC,Action,Ubisoft,Ubisoft Montreal,80.0,0.76,2011-11-29,0.14,0.48,0.0,0.12,0.74,20.0,771.0,M,15.0,5.0,0.0,62.0,53.0,26.0,74.0,Assassin's Creed: Revelations,UbisoftMontreal,Action Adventure;Historic;Historic;Open-World,PC,80.0,74.0,not specified,Ubisoft,UBSFY
Harry Potter and the Half-Blood Prince,Wii,Action,Electronic Arts,Bright Light Productions,60.0,0.76,2009-06-30,0.28,0.39,0.0,0.08,0.75,35.0,8.0,E10+,,,,,,,38.0,,,,,,,,EA,EA
Quantum Break,XOne,Action,Microsoft Studios,Remedy Entertainment,77.0,0.76,2016-04-05,0.3,0.2,0.01,0.05,0.56,106.0,1659.0,M,77.0,25.0,4.0,296.0,73.0,37.0,68.0,,,,,,,No Online Multiplayer,Microsoft,MSFT
